onset	duration	nwb_table	label
0.0	17245.6	epochs	PREEpoch
5.0	2387.0	states	Awake
2393.0	32.0	states	Non-REM
2426.0	468.0	states	Awake
2895.0	28.0	states	Non-REM
2924.0	10.0	states	Awake
2935.0	19.0	states	Non-REM
2955.0	13.0	states	Awake
2969.0	24.0	states	Non-REM
2994.0	66.0	states	Awake
3061.0	44.0	states	Non-REM
3106.0	672.0	states	Awake
3779.0	63.0	states	Non-REM
3843.0	62.0	states	Awake
3906.0	12.0	states	Non-REM
3919.0	26.0	states	Awake
3946.0	28.0	states	Non-REM
3975.0	1313.0	states	Awake
5289.0	8.0	states	Non-REM
5298.0	95.0	states	Awake
5394.0	13.0	states	Non-REM
5408.0	26.0	states	Awake
5435.0	10.0	states	Non-REM
5446.0	15.0	states	Awake
5462.0	127.0	states	Non-REM
5590.0	26.0	states	Awake
5617.0	80.0	states	Non-REM
5698.0	10.0	states	Awake
5709.0	141.0	states	Non-REM
5851.0	16.0	states	Awake
5868.0	7.0	states	Non-REM
5876.0	62.0	states	Awake
5939.0	185.0	states	Non-REM
6125.0	50.0	states	Awake
6176.0	93.0	states	Non-REM
6270.0	18.0	states	REM
6289.0	22.0	states	Awake
6312.0	16.0	states	Non-REM
6329.0	102.0	states	REM
6432.0	8.0	states	Awake
6441.0	18.0	states	REM
6460.0	416.0	states	Awake
6877.0	101.0	states	Non-REM
6979.0	248.0	states	Awake
7228.0	18.0	states	Non-REM
7247.0	182.0	states	Awake
7430.0	60.0	states	Non-REM
7491.0	34.0	states	Awake
7526.0	23.0	states	Non-REM
7550.0	1340.0	states	Awake
8891.0	59.0	states	Non-REM
8951.0	27.0	states	Awake
8979.0	12.0	states	Non-REM
8992.0	384.0	states	Awake
9377.0	24.0	states	Non-REM
9402.0	94.0	states	Awake
9497.0	32.0	states	Non-REM
9530.0	103.0	states	Awake
9634.0	9.0	states	REM
9644.0	2692.0	states	Awake
12337.0	203.0	states	Non-REM
12541.0	65.0	states	Awake
12607.0	173.0	states	Non-REM
12781.0	19.0	states	Awake
12801.0	470.0	states	Non-REM
13272.0	106.0	states	REM
13379.0	10.0	states	Non-REM
13390.0	25.0	states	REM
13416.0	57.0	states	Awake
13474.0	556.0	states	Non-REM
14031.0	14.0	states	Awake
14046.0	140.0	states	Non-REM
14187.0	49.0	states	Awake
14237.0	161.0	states	Non-REM
14399.0	10.0	states	Awake
14410.0	7.0	states	REM
14418.0	104.0	states	Non-REM
14523.0	30.0	states	REM
14554.0	108.0	states	Non-REM
14663.0	25.0	states	Awake
14689.0	134.0	states	Non-REM
14824.0	33.0	states	REM
14858.0	421.0	states	Awake
15280.0	29.0	states	Non-REM
15310.0	101.0	states	Awake
15412.0	8.0	states	REM
15421.0	513.0	states	Non-REM
15935.0	7.0	states	Awake
15943.0	85.0	states	Non-REM
16029.0	161.0	states	REM
16191.0	55.0	states	Awake
16247.0	417.0	states	Non-REM
16665.0	13.0	states	Awake
16679.0	61.0	states	Non-REM
16741.0	22.0	states	REM
16764.0	14.0	states	Non-REM
16779.0	169.0	states	REM
16949.0	38.0	states	Awake
16988.0	55.0	states	Non-REM
17044.0	27.0	states	Awake
17072.0	149.0	states	Non-REM
17222.0	4063.0	states	Awake
17245.6	3030.0	epochs	MazeEpoch
20275.6	16223.0	epochs	POSTEpoch
21286.0	20.0	states	Non-REM
21307.0	46.0	states	Awake
21354.0	33.0	states	Non-REM
21388.0	573.0	states	Awake
21962.0	182.0	states	Non-REM
22145.0	16.0	states	Awake
22162.0	378.0	states	Non-REM
22541.0	66.0	states	REM
22608.0	11.0	states	Awake
22620.0	167.0	states	Non-REM
22788.0	20.0	states	Awake
22809.0	44.0	states	Non-REM
22854.0	37.0	states	Awake
22892.0	370.0	states	Non-REM
23263.0	14.0	states	Awake
23278.0	51.0	states	Non-REM
23330.0	7.0	states	Awake
23338.0	116.0	states	Non-REM
23455.0	17.0	states	Awake
23473.0	39.0	states	REM
23513.0	23.0	states	Awake
23537.0	18.0	states	Non-REM
23556.0	9.0	states	REM
23566.0	15.0	states	Awake
23582.0	13.0	states	Non-REM
23596.0	55.0	states	REM
23652.0	670.0	states	Non-REM
24323.0	175.0	states	REM
24499.0	101.0	states	Non-REM
24601.0	25.0	states	Awake
24627.0	180.0	states	Non-REM
24808.0	37.0	states	Awake
24846.0	99.0	states	Non-REM
24946.0	10.0	states	Awake
24957.0	478.0	states	Non-REM
25436.0	21.0	states	Awake
25458.0	218.0	states	Non-REM
25677.0	1212.0	states	Awake
26890.0	257.0	states	Non-REM
27148.0	38.0	states	Awake
27187.0	226.0	states	Non-REM
27414.0	102.0	states	REM
27517.0	46.0	states	Awake
27564.0	381.0	states	Non-REM
27946.0	21.0	states	Awake
27968.0	158.0	states	Non-REM
28127.0	7.0	states	Awake
28135.0	173.0	states	REM
28309.0	72.0	states	Awake
28382.0	75.0	states	Non-REM
28458.0	8.0	states	Awake
28467.0	173.0	states	Non-REM
28641.0	39.0	states	Awake
28681.0	196.0	states	Non-REM
28878.0	21.0	states	Awake
28900.0	80.0	states	Non-REM
28981.0	32.0	states	REM
29014.0	9.0	states	Awake
29024.0	65.0	states	REM
29090.0	19.0	states	Awake
29110.0	20.0	states	Non-REM
29131.0	7.0	states	Awake
29139.0	51.0	states	Non-REM
29191.0	60.0	states	Awake
29252.0	81.0	states	Non-REM
29334.0	50.0	states	Awake
29385.0	190.0	states	Non-REM
29576.0	56.0	states	REM
29633.0	9.0	states	Awake
29643.0	49.0	states	Non-REM
29693.0	8.0	states	REM
29702.0	18.0	states	Awake
29721.0	122.0	states	Non-REM
29844.0	37.0	states	REM
29882.0	10.0	states	Awake
29893.0	14.0	states	Non-REM
29908.0	7.0	states	Awake
29916.0	134.0	states	Non-REM
30051.0	138.0	states	REM
30190.0	9.0	states	Awake
30200.0	41.0	states	Non-REM
30242.0	40.0	states	Awake
30283.0	240.0	states	Non-REM
30524.0	17.0	states	Awake
30542.0	125.0	states	Non-REM
30668.0	33.0	states	REM
30702.0	33.0	states	Awake
30736.0	75.0	states	Non-REM
30812.0	121.0	states	REM
30934.0	79.0	states	Awake
31014.0	78.0	states	Non-REM
31093.0	32.0	states	Awake
31126.0	133.0	states	Non-REM
31260.0	13.0	states	Awake
31274.0	303.0	states	Non-REM
31578.0	73.0	states	REM
31652.0	24.0	states	Awake
31677.0	66.0	states	REM
31744.0	565.0	states	Awake
32310.0	257.0	states	Non-REM
32568.0	9.0	states	Awake
32578.0	195.0	states	Non-REM
32774.0	26.0	states	Awake
32801.0	219.0	states	Non-REM
33021.0	229.0	states	Awake
33251.0	59.0	states	Non-REM
33311.0	9.0	states	Awake
33321.0	158.0	states	Non-REM
33480.0	66.0	states	Awake
33547.0	23.0	states	Non-REM
33571.0	12.0	states	Awake
33584.0	32.0	states	Non-REM
33617.0	48.0	states	Awake
33666.0	20.0	states	Non-REM
33687.0	168.0	states	REM
33856.0	185.0	states	Awake
34042.0	97.0	states	Non-REM
34140.0	12.0	states	Awake
34153.0	28.0	states	Non-REM
34182.0	7.0	states	Awake
34190.0	130.0	states	Non-REM
34321.0	34.0	states	REM
34356.0	169.0	states	Awake
34526.0	148.0	states	Non-REM
34675.0	15.0	states	Awake
34691.0	219.0	states	Non-REM
34911.0	51.0	states	REM
34963.0	28.0	states	Awake
34992.0	219.0	states	REM
35212.0	77.0	states	Awake
35290.0	11.0	states	Non-REM
35302.0	25.0	states	Awake
35328.0	146.0	states	Non-REM
35475.0	29.0	states	Awake
35505.0	59.0	states	Non-REM
35565.0	14.0	states	Awake
35580.0	96.0	states	Non-REM
35677.0	12.0	states	Awake
35690.0	204.0	states	Non-REM
35895.0	280.0	states	Awake
36176.0	34.0	states	Non-REM
36211.0	110.0	states	Awake
36322.0	12.0	states	Non-REM
36335.0	158.0	states	Awake
